targets,models,rmse,r2
Cooling Demand,Gaussian Process,1.3835,0.1575
Cooling Demand,Linear Regression,0.7701,0.7426
Cooling Demand,Polynomial Regression,1.4635,-0.0057
Cooling Demand,Random Forest,0.9732,0.5873
Heating Demand,Gaussian Process,0.0,1.0
Heating Demand,Linear Regression,0.0,1.0
Heating Demand,Polynomial Regression,0.0,1.0
Heating Demand,Random Forest,0.0,1.0
Solar Generation,Gaussian Process,0.0,1.0
Solar Generation,Linear Regression,22.4155,0.9914
Solar Generation,Polynomial Regression,11.352,0.9978
Solar Generation,Random Forest,16.5397,0.9953
